Soru,Cevap,Etiket
Türkiye'nin başkenti Ankara mıdır?,Evet,1
Türkiye'nin başkenti Ankara mıdır?,Hayır,-1
Türkiye'nin en kalabalık şehri İstanbul mudur?,Evet,1
Türkiye'nin en kalabalık şehri İstanbul mudur?,Hayır,-1
Türkiye'nin en yüksek dağı Ağrı Dağı mıdır?,Evet,1
Türkiye'nin en yüksek dağı Ağrı Dağı mıdır?,Hayır,-1
Van Gölü Türkiye'nin en büyük gölü müdür?,Evet,1
Van Gölü Türkiye'nin en büyük gölü müdür?,Hayır,-1
Kızılırmak Türkiye'nin en uzun nehri midir?,Evet,1
Kızılırmak Türkiye'nin en uzun nehri midir?,Hayır,-1
Peri Bacaları Nevşehir'de midir?,Evet,1
Peri Bacaları Nevşehir'de midir?,Hayır,-1
Türkiye 7 coğrafi bölgeye mi ayrılmıştır?,Evet,1
Türkiye 7 coğrafi bölgeye mi ayrılmıştır?,Hayır,-1
İstanbul Boğazı iki kıtayı birbirine bağlar mı?,Evet,1
İstanbul Boğazı iki kıtayı birbirine bağlar mı?,Hayır,-1
Anıtkabir Ankara sınırları içinde midir?,Evet,1
Anıtkabir Ankara sınırları içinde midir?,Hayır,-1
Akdeniz Bölgesi Türkiye'nin güneyinde midir?,Evet,1
Akdeniz Bölgesi Türkiye'nin güneyinde midir?,Hayır,-1
Karadeniz Bölgesi Türkiye'nin kuzeyinde midir?,Evet,1
Karadeniz Bölgesi Türkiye'nin kuzeyinde midir?,Hayır,-1
İzmir Ege Bölgesi'nde midir?,Evet,1
İzmir Ege Bölgesi'nde midir?,Hayır,-1
Rize çay üretimiyle mi bilinir?,Evet,1
Rize çay üretimiyle mi bilinir?,Hayır,-1
Antalya turizm kenti midir?,Evet,1
Antalya turizm kenti midir?,Hayır,-1
Türkiye'nin uluslararası telefon kodu +90 mıdır?,Evet,1
Türkiye'nin uluslararası telefon kodu +90 mıdır?,Hayır,-1
Ihlara Vadisi Aksaray'da mıdır?,Evet,1
Ihlara Vadisi Aksaray'da mıdır?,Hayır,-1
Tortum Şelalesi Erzurum'da mıdır?,Evet,1
Tortum Şelalesi Erzurum'da mıdır?,Hayır,-1
Erciyes Dağı Kayseri'de midir?,Evet,1
Erciyes Dağı Kayseri'de midir?,Hayır,-1
Tuz Gölü İç Anadolu Bölgesi'nde midir?,Evet,1
Tuz Gölü İç Anadolu Bölgesi'nde midir?,Hayır,-1
Çoruh Nehri Karadeniz'e mi dökülür?,Evet,1
Çoruh Nehri Karadeniz'e mi dökülür?,Hayır,-1
Cumhuriyet 1923 yılında mı ilan edilmiştir?,Evet,1
Cumhuriyet 1923 yılında mı ilan edilmiştir?,Hayır,-1
Mustafa Kemal Atatürk ilk cumhurbaşkanı mıdır?,Evet,1
Mustafa Kemal Atatürk ilk cumhurbaşkanı mıdır?,Hayır,-1
İstanbul'un fethi 1453 yılında mı gerçekleşmiştir?,Evet,1
İstanbul'un fethi 1453 yılında mı gerçekleşmiştir?,Hayır,-1
Malazgirt Savaşı 1071 yılında mı yapılmıştır?,Evet,1
Malazgirt Savaşı 1071 yılında mı yapılmıştır?,Hayır,-1
Osmanlı Devleti'ni Osman Bey mi kurmuştur?,Evet,1
Osmanlı Devleti'ni Osman Bey mi kurmuştur?,Hayır,-1
Kurtuluş Savaşı 1919'da Samsun'da mı başlamıştır?,Evet,1
Kurtuluş Savaşı 1919'da Samsun'da mı başlamıştır?,Hayır,-1
29 Ekim Cumhuriyet Bayramı mıdır?,Evet,1
29 Ekim Cumhuriyet Bayramı mıdır?,Hayır,-1
30 Ağustos Zafer Bayramı mıdır?,Evet,1
30 Ağustos Zafer Bayramı mıdır?,Hayır,-1
Fatih Sultan Mehmet İstanbul'u fethetmiş midir?,Evet,1
Fatih Sultan Mehmet İstanbul'u fethetmiş midir?,Hayır,-1
Mimar Sinan Süleymaniye Camii'ni yapmış mıdır?,Evet,1
Mimar Sinan Süleymaniye Camii'ni yapmış mıdır?,Hayır,-1
Çanakkale Zaferi 1915 yılında mı kazanılmıştır?,Evet,1
Çanakkale Zaferi 1915 yılında mı kazanılmıştır?,Hayır,-1
İstiklal Marşı'nı Mehmet Akif Ersoy mu yazmıştır?,Evet,1
İstiklal Marşı'nı Mehmet Akif Ersoy mu yazmıştır?,Hayır,-1
Türkiye NATO'ya 1952 yılında mı katılmıştır?,Evet,1
Türkiye NATO'ya 1952 yılında mı katılmıştır?,Hayır,-1
Saltanat 1922'de mi kaldırılmıştır?,Evet,1
Saltanat 1922'de mi kaldırılmıştır?,Hayır,-1
Hatay 1939'da anavatana mı katılmıştır?,Evet,1
Hatay 1939'da anavatana mı katılmıştır?,Hayır,-1
Lozan Antlaşması Türkiye'nin tapusu mudur?,Evet,1
